GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
labo4,default,TestNuestros,3,0,0,0,1,0,1,0,1,0
labo4,aed,AVL,591,0,92,0,168,0,61,0,15,0
labo4,aed,Edr,80,1006,30,150,19,186,25,76,0,11
labo4,aed,ListaEnlazada.Nodo,0,15,0,0,0,5,0,1,0,1
labo4,aed,AVL.AVL_Iterador,76,0,14,0,18,0,10,0,3,0
labo4,aed,ListaEnlazada,247,0,26,0,67,0,23,0,10,0
labo4,aed,ListaEnlazada.ListaIterador,66,0,8,0,14,0,9,0,5,0
labo4,aed,AVL.Nodo,21,0,0,0,7,0,1,0,1,0
labo4,aed,NotaFinal,22,36,7,5,5,8,7,2,1,2
labo4,aed,Heap.HandleHeap,7,52,0,2,3,12,2,3,2,2
labo4,aed,Edr.Estudiante,0,57,0,4,0,14,0,4,0,2
labo4,aed,Heap,14,231,3,15,2,48,3,18,1,11
